,Unnamed: 0,Star_name,Distance,Mass,Radius
4241,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4242,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4243,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4244,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4245,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4246,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4247,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4248,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4249,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4250,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4251,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4252,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4253,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4254,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4255,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4256,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4257,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4258,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4259,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4260,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4261,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4262,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4263,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4264,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4265,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4266,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4267,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4268,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4269,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4270,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4271,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4272,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4273,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4274,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4275,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4276,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4277,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4278,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4279,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4280,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4281,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4282,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4283,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4284,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4285,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4286,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4287,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4288,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4289,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4290,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4291,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4292,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4293,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4294,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4295,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4296,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4297,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4298,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4299,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4300,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
4301,72.0,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
4302,132.0,2MASS J13595510-4034582,51,0.060139044,0.102763
4303,151.0,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
4304,30.0,LP 771-21,53,0.074457864,0.11098404
4305,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4306,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4307,30.0,LP 771-21,53,0.074457864,0.11098404
4308,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4309,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4310,30.0,LP 771-21,53,0.074457864,0.11098404
4311,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4312,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4313,30.0,LP 771-21,53,0.074457864,0.11098404
4314,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4315,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4316,30.0,LP 771-21,53,0.074457864,0.11098404
4317,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4318,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4319,30.0,LP 771-21,53,0.074457864,0.11098404
4320,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4321,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4322,30.0,LP 771-21,53,0.074457864,0.11098404
4323,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4324,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4325,30.0,LP 771-21,53,0.074457864,0.11098404
4326,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4327,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4328,30.0,LP 771-21,53,0.074457864,0.11098404
4329,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4330,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4331,30.0,LP 771-21,53,0.074457864,0.11098404
4332,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4333,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4334,30.0,LP 771-21,53,0.074457864,0.11098404
4335,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4336,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4337,30.0,LP 771-21,53,0.074457864,0.11098404
4338,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4339,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4340,30.0,LP 771-21,53,0.074457864,0.11098404
4341,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4342,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4343,30.0,LP 771-21,53,0.074457864,0.11098404
4344,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4345,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4346,30.0,LP 771-21,53,0.074457864,0.11098404
4347,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4348,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4349,30.0,LP 771-21,53,0.074457864,0.11098404
4350,102.0,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
4351,147.0,TVLM 868-110639,53,0.075412452,0.11098404
4352,80.0,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
4353,87.0,LHS 2021,55,0.084003744,0.11817744999999999
4354,98.0,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
4355,80.0,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
4356,87.0,LHS 2021,55,0.084003744,0.11817744999999999
4357,98.0,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
4358,80.0,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
4359,87.0,LHS 2021,55,0.084003744,0.11817744999999999
4360,98.0,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
4361,80.0,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
4362,87.0,LHS 2021,55,0.084003744,0.11817744999999999
4363,98.0,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
4364,80.0,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
